1,1,318,Sample Address #1,Leave at door
2,3,22,Sample Address #3,Leave at door
3,4,2692,Sample Address #4,Please ring the doorbell
4,6,1364,Sample Address #6,Call upon arrival
5,9,88,Sample Address #9,Apartment building - use intercom
6,13,998,Sample Address #13,Please ring the doorbell
7,19,1407,Sample Address #19,Leave at door
8,21,2838,Sample Address #21,Call upon arrival
9,24,623,Sample Address #24,Please ring the doorbell
10,31,3501,Sample Address #31,Call upon arrival
11,33,3053,Sample Address #33,Apartment building - use intercom
12,34,2277,Sample Address #34,Please ring the doorbell
13,35,2394,Sample Address #35,Apartment building - use intercom
14,36,2548,Sample Address #36,Please ring the doorbell
15,39,551,Sample Address #39,Apartment building - use intercom
16,43,396,Sample Address #43,Call upon arrival
17,49,1739,Sample Address #49,Call upon arrival
18,50,1108,Sample Address #50,Leave at door
19,55,330,Sample Address #55,Please ring the doorbell
20,56,1787,Sample Address #56,Call upon arrival
21,59,288,Sample Address #59,Please ring the doorbell
22,60,516,Sample Address #60,Apartment building - use intercom
23,61,922,Sample Address #61,Apartment building - use intercom
24,62,3701,Sample Address #62,Call upon arrival
25,66,3937,Sample Address #66,Leave at door
26,67,1951,Sample Address #67,Please ring the doorbell
27,68,1937,Sample Address #68,Call upon arrival
28,69,2056,Sample Address #69,Call upon arrival
29,72,1402,Sample Address #72,Call upon arrival
30,73,526,Sample Address #73,Please ring the doorbell
31,75,2227,Sample Address #75,Please ring the doorbell
32,76,1129,Sample Address #76,Leave at door
33,83,3612,Sample Address #83,Please ring the doorbell
34,84,486,Sample Address #84,Call upon arrival
35,100,800,Sample Address #100,Please ring the doorbell
36,101,1611,Sample Address #101,Leave at door
37,112,2239,Sample Address #112,Call upon arrival
38,113,1930,Sample Address #113,Leave at door
39,115,2508,Sample Address #115,Call upon arrival
40,117,1108,Sample Address #117,Please ring the doorbell
41,118,2433,Sample Address #118,Please ring the doorbell
42,120,859,Sample Address #120,Call upon arrival
43,122,1882,Sample Address #122,Leave at door
44,123,1847,Sample Address #123,Leave at door
45,124,2233,Sample Address #124,Leave at door
46,125,2655,Sample Address #125,Leave at door
47,126,3874,Sample Address #126,Leave at door
48,127,3992,Sample Address #127,Leave at door
49,130,2154,Sample Address #130,Apartment building - use intercom
50,132,396,Sample Address #132,Call upon arrival
51,134,366,Sample Address #134,Leave at door
52,140,3207,Sample Address #140,Please ring the doorbell
53,141,1768,Sample Address #141,Call upon arrival
54,142,3628,Sample Address #142,Call upon arrival
55,147,1227,Sample Address #147,Call upon arrival
56,152,2325,Sample Address #152,Please ring the doorbell
57,153,2721,Sample Address #153,Leave at door
58,154,1879,Sample Address #154,Please ring the doorbell
59,158,1944,Sample Address #158,Call upon arrival
60,160,2703,Sample Address #160,Leave at door
61,164,1818,Sample Address #164,Please ring the doorbell
62,165,1060,Sample Address #165,Please ring the doorbell
63,169,3675,Sample Address #169,Please ring the doorbell
64,170,3509,Sample Address #170,Leave at door
65,176,3516,Sample Address #176,Leave at door
66,177,1456,Sample Address #177,Leave at door
67,182,1595,Sample Address #182,Call upon arrival
68,188,562,Sample Address #188,Leave at door
69,189,1370,Sample Address #189,Call upon arrival
70,190,395,Sample Address #190,Please ring the doorbell
71,191,386,Sample Address #191,Leave at door
72,194,2131,Sample Address #194,Call upon arrival
73,195,3963,Sample Address #195,Leave at door
74,198,1984,Sample Address #198,Please ring the doorbell
75,200,246,Sample Address #200,Leave at door
76,203,800,Sample Address #203,Call upon arrival
77,206,1996,Sample Address #206,Please ring the doorbell
78,207,2814,Sample Address #207,Please ring the doorbell
79,209,3392,Sample Address #209,Call upon arrival
80,213,1026,Sample Address #213,Please ring the doorbell
81,214,1519,Sample Address #214,Leave at door
82,217,3205,Sample Address #217,Please ring the doorbell
83,222,1848,Sample Address #222,Please ring the doorbell
84,223,783,Sample Address #223,Leave at door
85,226,1647,Sample Address #226,Please ring the doorbell
86,232,2794,Sample Address #232,Leave at door
87,233,3224,Sample Address #233,Call upon arrival
88,236,1354,Sample Address #236,Leave at door
89,238,3509,Sample Address #238,Call upon arrival
90,244,1570,Sample Address #244,Call upon arrival
91,245,2093,Sample Address #245,Leave at door
92,246,1922,Sample Address #246,Leave at door
