1,45,Tán,Wolverson,23.11.2000,Waiter,FALSE
2,470,Bécassine,Paskell,5.4.1972,Chef,FALSE
3,410,Irène,Dearing,1.10.2004,Waiter,FALSE
4,30,Angélique,McCafferky,10.11.1976,Delivery,TRUE
5,307,Lorène,Havik,28.6.1971,Waiter,TRUE
6,319,Frédérique,Chad,11.2.1978,Chef,TRUE
7,187,Naëlle,Giacobini,17.9.1974,Waiter,FALSE
8,43,Célestine,Radleigh,18.12.2004,Delivery,TRUE
9,210,Marie-josée,Rackam,27.3.2001,Chef,FALSE
10,265,Esbjörn,Meert,13.9.1982,Waiter,TRUE
11,181,Maëlla,Huston,14.12.1968,Chef,TRUE
12,94,Maïwenn,Williscroft,5.5.1991,Delivery,TRUE
13,166,Eugénie,Flaws,24.10.1978,Delivery,TRUE
14,284,Andrée,Degg,16.9.1985,Delivery,TRUE
15,31,Mélys,MacKeeg,21.11.2003,Delivery,TRUE
16,277,Miléna,Yeiles,16.12.1977,Delivery,TRUE
17,289,Mylène,Pittwood,14.8.1991,Chef,TRUE
18,117,Ráo,Whopples,17.12.1991,Delivery,TRUE
19,13,Renée,Frazier,13.12.1981,Delivery,TRUE
20,296,Åslög,Boddice,10.3.1988,Delivery,TRUE
21,121,Ráo,Maffezzoli,10.6.1996,Chef,FALSE
22,34,Réservés,Markussen,31.10.1986,Delivery,TRUE
23,272,Laurélie,Perton,26.9.1978,Chef,TRUE
24,102,Pål,Piccop,20.5.1989,Waiter,FALSE
25,442,Garçon,Backshill,7.7.1989,Delivery,TRUE
26,469,Åsa,Wickey,29.1.1982,Chef,FALSE
27,473,Mahélie,Simon,28.9.1981,Delivery,TRUE
28,354,Cléa,Walak,30.10.1967,Waiter,TRUE
29,176,Loïc,Gremane,9.8.1993,Waiter,FALSE
30,146,Françoise,Albarez,18.12.1976,Delivery,TRUE
31,104,Angélique,Camplejohn,21.6.1970,Waiter,TRUE
32,441,Valérie,Fenwick,21.9.2001,Waiter,TRUE
33,367,Marie-ève,Crose,17.10.2002,Chef,TRUE
34,431,Andréanne,Ream,10.10.1972,Waiter,TRUE
35,164,Salomé,Wylam,12.6.1994,Waiter,FALSE
36,466,Lén,Rehm,5.11.2005,Waiter,FALSE
37,193,Lauréna,Champ,7.12.1975,Chef,FALSE
38,105,Laïla,Francescuccio,15.6.1986,Chef,TRUE
39,124,Judicaël,Belfield,20.1.2002,Delivery,TRUE
40,120,Personnalisée,Cotilard,8.12.1970,Waiter,TRUE
41,210,Maëlys,Arkell,5.12.1981,Waiter,TRUE
42,461,Judicaël,Ochiltree,12.4.1978,Waiter,TRUE
43,412,Gösta,Jaskiewicz,31.10.1986,Waiter,FALSE
44,348,Edmée,Carty,18.8.1972,Delivery,TRUE
45,214,Loïs,Seint,16.9.1969,Delivery,TRUE
46,262,Agnès,Hurt,24.6.1979,Chef,TRUE
47,490,Dà,Goshawke,31.5.1996,Chef,FALSE
48,46,Gösta,Conradsen,24.8.1970,Delivery,TRUE
49,275,Marie-noël,Kybert,25.10.1969,Chef,TRUE
50,23,Jú,Dewey,10.4.1968,Delivery,TRUE
51,90,Åke,Crawcour,13.2.1979,Waiter,FALSE
52,330,Yè,Bowdidge,19.1.1994,Waiter,FALSE
53,215,Gösta,Glasner,16.5.2000,Chef,TRUE
54,9,Maïlis,Cicetti,13.6.1978,Chef,FALSE
55,146,Björn,Berthon,18.12.2001,Waiter,FALSE
56,183,Åslög,McGourty,25.8.1995,Delivery,TRUE
57,329,Yáo,Chant,21.4.1967,Delivery,TRUE
58,289,Bécassine,Bridal,28.3.2002,Delivery,TRUE
59,488,Andréanne,Biggam,18.11.1972,Delivery,TRUE
60,30,Uò,Derle,8.8.1978,Chef,FALSE
61,409,Mélys,Daughtery,23.6.1975,Waiter,TRUE
62,288,Maïté,Guilloux,9.9.1986,Waiter,FALSE
63,333,Pénélope,Spriggen,15.1.1990,Delivery,TRUE
